ID,Daypart,Visit#Daypart
100076,9 AM - before 11 AM,27
100076,Before 9 AM,1
100077,9 AM - before 11 AM,14
100077,Before 9 AM,14
100130,9 AM - before 11 AM,3
100130,Before 9 AM,7
100199,11 AM - before 2 PM,3
100199,Before 9 AM,1
100201,11 AM - before 2 PM,2
100201,5 PM - before 9 PM,7
100201,9 AM - before 11 AM,5
100201,Before 9 AM,10
100210,5 PM - before 9 PM,1
100210,9 AM - before 11 AM,2
100268,Before 9 AM,4
100269,9 AM - before 11 AM,2
100269,Before 9 AM,2
100356,2 PM - before 5 PM,3
100356,5 PM - before 9 PM,3
100356,Before 9 AM,4
100364,Before 9 AM,30
100501,Before 9 AM,12
100512,11 AM - before 2 PM,5
100512,2 PM - before 5 PM,4
100512,5 PM - before 9 PM,8
100512,9 AM - before 11 AM,6
100512,9 PM or later,3
100512,Before 9 AM,4
100596,2 PM - before 5 PM,2
100596,5 PM - before 9 PM,1
100664,2 PM - before 5 PM,4
100772,5 PM - before 9 PM,7
100772,Before 9 AM,5
100869,5 PM - before 9 PM,1
100869,9 PM or later,1
101124,2 PM - before 5 PM,5
101124,5 PM - before 9 PM,5
101265,11 AM - before 2 PM,5
101265,5 PM - before 9 PM,3
101269,11 AM - before 2 PM,3
101269,2 PM - before 5 PM,3
101269,5 PM - before 9 PM,3
101269,Before 9 AM,11
101450,Before 9 AM,30
101501,5 PM - before 9 PM,30
101501,Before 9 AM,30
101509,11 AM - before 2 PM,16
101539,11 AM - before 2 PM,30
101539,Before 9 AM,30
101588,5 PM - before 9 PM,20
101588,Before 9 AM,20
101611,Before 9 AM,30
101810,Before 9 AM,2
101838,5 PM - before 9 PM,8
101838,Before 9 AM,7
101913,9 AM - before 11 AM,3
101913,Before 9 AM,2
101920,2 PM - before 5 PM,2
101920,5 PM - before 9 PM,11
101920,9 AM - before 11 AM,7
101921,5 PM - before 9 PM,16
101921,Before 9 AM,14
101922,5 PM - before 9 PM,1
101922,Before 9 AM,1
101923,11 AM - before 2 PM,3
101923,2 PM - before 5 PM,3
101923,9 AM - before 11 AM,4
101923,Before 9 AM,2
101924,2 PM - before 5 PM,11
101924,9 AM - before 11 AM,1
101925,2 PM - before 5 PM,2
101926,5 PM - before 9 PM,3
101926,Before 9 AM,2
101927,5 PM - before 9 PM,6
101927,Before 9 AM,4
101928,11 AM - before 2 PM,8
101928,5 PM - before 9 PM,12
101929,11 AM - before 2 PM,10
101929,5 PM - before 9 PM,8
101929,Before 9 AM,12
101930,11 AM - before 2 PM,1
101930,5 PM - before 9 PM,1
101931,9 AM - before 11 AM,3
101932,5 PM - before 9 PM,5
101932,Before 9 AM,10
101933,11 AM - before 2 PM,15
101933,5 PM - before 9 PM,0
101933,9 AM - before 11 AM,5
101933,Before 9 AM,10
101977,11 AM - before 2 PM,6
101977,Before 9 AM,6
102023,2 PM - before 5 PM,4
102023,Before 9 AM,2
102139,11 AM - before 2 PM,3
102139,2 PM - before 5 PM,3
102139,5 PM - before 9 PM,2
102927,2 PM - before 5 PM,2
102927,5 PM - before 9 PM,2
102927,9 PM or later,2
102927,Before 9 AM,2
102928,11 AM - before 2 PM,5
102928,2 PM - before 5 PM,8
102928,5 PM - before 9 PM,8
102928,9 PM or later,5
102928,Before 9 AM,4
102929,Before 9 AM,30
102930,11 AM - before 2 PM,8
102930,2 PM - before 5 PM,8
102930,5 PM - before 9 PM,6
102930,Before 9 AM,8
102931,5 PM - before 9 PM,2
102946,5 PM - before 9 PM,2
102949,Before 9 AM,3
102963,9 AM - before 11 AM,4
102963,Before 9 AM,6
102964,Before 9 AM,4
102965,9 AM - before 11 AM,4
102966,9 AM - before 11 AM,2
102966,Before 9 AM,2
102968,5 PM - before 9 PM,2
102969,5 PM - before 9 PM,30
102969,Before 9 AM,30
102970,5 PM - before 9 PM,5
102971,5 PM - before 9 PM,2
102971,Before 9 AM,2
102972,11 AM - before 2 PM,10
102972,Before 9 AM,10
102987,11 AM - before 2 PM,4
102987,2 PM - before 5 PM,3
102987,5 PM - before 9 PM,5
102987,9 AM - before 11 AM,4
102988,5 PM - before 9 PM,1
102988,9 AM - before 11 AM,1
102989,2 PM - before 5 PM,1
102989,5 PM - before 9 PM,2
102989,9 AM - before 11 AM,1
102990,5 PM - before 9 PM,2
102990,9 AM - before 11 AM,2
102991,5 PM - before 9 PM,6
102991,9 AM - before 11 AM,6
102994,2 PM - before 5 PM,1
102994,5 PM - before 9 PM,1
102995,5 PM - before 9 PM,2
102996,11 AM - before 2 PM,1
102996,2 PM - before 5 PM,1
102996,5 PM - before 9 PM,1
102997,5 PM - before 9 PM,2
103001,2 PM - before 5 PM,2
103001,5 PM - before 9 PM,2
103002,5 PM - before 9 PM,6
103002,9 AM - before 11 AM,2
103003,11 AM - before 2 PM,4
103003,5 PM - before 9 PM,4
103003,Before 9 AM,4
103004,5 PM - before 9 PM,1
103004,Before 9 AM,2
103005,11 AM - before 2 PM,3
103005,5 PM - before 9 PM,3
103005,Before 9 AM,3
103023,2 PM - before 5 PM,1
103023,5 PM - before 9 PM,2
103024,2 PM - before 5 PM,2
103024,5 PM - before 9 PM,3
103024,9 AM - before 11 AM,3
103026,5 PM - before 9 PM,2
103026,9 AM - before 11 AM,1
103026,9 PM or later,1
103027,5 PM - before 9 PM,3
103029,5 PM - before 9 PM,1
103029,9 AM - before 11 AM,1
103030,5 PM - before 9 PM,2
103048,Before 9 AM,2
103114,2 PM - before 5 PM,2
103115,9 AM - before 11 AM,1
103115,9 PM or later,2
103219,Before 9 AM,28
103280,11 AM - before 2 PM,2
103280,2 PM - before 5 PM,1
103338,Before 9 AM,3
103388,11 AM - before 2 PM,4
103540,5 PM - before 9 PM,30
103540,Before 9 AM,30
103541,2 PM - before 5 PM,3
103541,9 AM - before 11 AM,1
103542,11 AM - before 2 PM,4
103542,5 PM - before 9 PM,4
103574,11 AM - before 2 PM,1
103574,2 PM - before 5 PM,2
103631,5 PM - before 9 PM,4
103691,5 PM - before 9 PM,8
103691,Before 9 AM,7
103810,Before 9 AM,28
103847,11 AM - before 2 PM,6
103847,5 PM - before 9 PM,7
103847,Before 9 AM,7
103849,2 PM - before 5 PM,10
103849,5 PM - before 9 PM,10
104149,11 AM - before 2 PM,10
104301,11 AM - before 2 PM,6
104301,5 PM - before 9 PM,6
104349,Before 9 AM,2
104548,Before 9 AM,28
104555,5 PM - before 9 PM,2
104555,Before 9 AM,28
104563,5 PM - before 9 PM,3
104563,9 AM - before 11 AM,2
104563,9 PM or later,15
104608,5 PM - before 9 PM,15
104608,Before 9 AM,15
104628,Before 9 AM,6
104629,5 PM - before 9 PM,3
104631,2 PM - before 5 PM,1
104631,5 PM - before 9 PM,2
104633,2 PM - before 5 PM,1
104633,9 AM - before 11 AM,2
104707,11 AM - before 2 PM,1
104707,2 PM - before 5 PM,1
104707,9 AM - before 11 AM,2
104727,5 PM - before 9 PM,2
104728,5 PM - before 9 PM,2
104728,9 AM - before 11 AM,1
104729,2 PM - before 5 PM,2
104729,5 PM - before 9 PM,2
104757,5 PM - before 9 PM,6
104757,Before 9 AM,6
104759,Before 9 AM,28
104964,2 PM - before 5 PM,10
104968,5 PM - before 9 PM,9
105009,2 PM - before 5 PM,6
105009,Before 9 AM,6
105012,11 AM - before 2 PM,5
105012,5 PM - before 9 PM,5
105097,5 PM - before 9 PM,10
105097,9 AM - before 11 AM,5
105097,Before 9 AM,10
105104,2 PM - before 5 PM,1
105104,5 PM - before 9 PM,1
105105,2 PM - before 5 PM,2
105106,5 PM - before 9 PM,6
105106,9 AM - before 11 AM,1
105106,9 PM or later,3
105153,5 PM - before 9 PM,5
105171,5 PM - before 9 PM,5
105171,9 PM or later,2
105171,Before 9 AM,3
105234,2 PM - before 5 PM,5
105234,Before 9 AM,5
105298,Before 9 AM,30
105307,2 PM - before 5 PM,3
105307,5 PM - before 9 PM,5
105677,2 PM - before 5 PM,2
105677,5 PM - before 9 PM,6
105678,2 PM - before 5 PM,2
105678,5 PM - before 9 PM,1
105678,9 AM - before 11 AM,1
106231,2 PM - before 5 PM,3
106231,5 PM - before 9 PM,2
106231,9 AM - before 11 AM,3
106234,11 AM - before 2 PM,1
106234,2 PM - before 5 PM,2
106234,5 PM - before 9 PM,4
106234,9 AM - before 11 AM,1
106497,5 PM - before 9 PM,5
106497,9 AM - before 11 AM,5
106499,9 AM - before 11 AM,0
106499,Before 9 AM,2
106512,5 PM - before 9 PM,3
106513,Before 9 AM,30
106514,5 PM - before 9 PM,4
106553,Before 9 AM,10
106554,5 PM - before 9 PM,2
106554,9 PM or later,2
106555,5 PM - before 9 PM,4
106556,2 PM - before 5 PM,3
106558,Before 9 AM,30
106559,11 AM - before 2 PM,8
106560,5 PM - before 9 PM,30
106560,Before 9 AM,30
106561,11 AM - before 2 PM,15
106561,Before 9 AM,15
106562,11 AM - before 2 PM,14
106562,Before 9 AM,14
106563,2 PM - before 5 PM,2
106563,5 PM - before 9 PM,3
106570,5 PM - before 9 PM,2
106571,5 PM - before 9 PM,2
106571,9 AM - before 11 AM,1
106572,5 PM - before 9 PM,2
106573,5 PM - before 9 PM,5
106573,Before 9 AM,15
106575,2 PM - before 5 PM,4
106576,5 PM - before 9 PM,2
106577,5 PM - before 9 PM,3
106578,2 PM - before 5 PM,4
106578,9 AM - before 11 AM,6
106579,5 PM - before 9 PM,2
106580,5 PM - before 9 PM,2
106582,5 PM - before 9 PM,2
106583,11 AM - before 2 PM,1
106583,5 PM - before 9 PM,3
106584,11 AM - before 2 PM,1
106584,5 PM - before 9 PM,1
106585,5 PM - before 9 PM,2
106591,9 AM - before 11 AM,6
106591,Before 9 AM,2
106611,11 AM - before 2 PM,3
106611,5 PM - before 9 PM,5
106615,11 AM - before 2 PM,5
106615,2 PM - before 5 PM,3
106615,9 PM or later,3
106615,Before 9 AM,4
106616,5 PM - before 9 PM,2
106656,9 AM - before 11 AM,4
106657,11 AM - before 2 PM,4
106716,5 PM - before 9 PM,15
106716,Before 9 AM,15
106717,5 PM - before 9 PM,3
106718,2 PM - before 5 PM,2
106725,9 AM - before 11 AM,2
106726,5 PM - before 9 PM,2
106730,5 PM - before 9 PM,20
106730,Before 9 AM,20
106734,Before 9 AM,30
106764,2 PM - before 5 PM,3
106764,9 AM - before 11 AM,3
106764,Before 9 AM,4
106765,5 PM - before 9 PM,4
106766,5 PM - before 9 PM,3
106769,5 PM - before 9 PM,4
106770,5 PM - before 9 PM,4
106771,5 PM - before 9 PM,2
106832,5 PM - before 9 PM,1
106832,9 AM - before 11 AM,4
106833,Before 9 AM,4
106834,Before 9 AM,30
106835,5 PM - before 9 PM,10
106835,Before 9 AM,20
106836,Before 9 AM,3
106837,5 PM - before 9 PM,6
106837,Before 9 AM,22
106848,5 PM - before 9 PM,15
106848,Before 9 AM,15
106972,5 PM - before 9 PM,5
106972,Before 9 AM,5
106977,9 AM - before 11 AM,20
106977,Before 9 AM,10
107045,5 PM - before 9 PM,4
107045,9 AM - before 11 AM,4
107046,5 PM - before 9 PM,4
107046,Before 9 AM,4
107047,2 PM - before 5 PM,15
107047,Before 9 AM,15
107048,5 PM - before 9 PM,4
107049,5 PM - before 9 PM,8
107206,Before 9 AM,4
107222,2 PM - before 5 PM,2
107222,5 PM - before 9 PM,2
107227,5 PM - before 9 PM,5
107227,Before 9 AM,5
107298,11 AM - before 2 PM,10
107298,9 PM or later,10
107298,Before 9 AM,10
107309,2 PM - before 5 PM,2
107309,Before 9 AM,1
107324,9 AM - before 11 AM,3
107324,Before 9 AM,27
107342,Before 9 AM,30
107385,Before 9 AM,30
107394,Before 9 AM,12
107398,9 AM - before 11 AM,2
107424,5 PM - before 9 PM,3
107513,Before 9 AM,4
107577,Before 9 AM,2
107619,Before 9 AM,4
107620,Before 9 AM,30
107621,Before 9 AM,2
107622,9 AM - before 11 AM,30
107623,11 AM - before 2 PM,4
107625,5 PM - before 9 PM,4
107625,9 AM - before 11 AM,4
107627,11 AM - before 2 PM,1
107627,2 PM - before 5 PM,2
107628,9 AM - before 11 AM,4
107629,9 AM - before 11 AM,10
107629,Before 9 AM,20
107635,5 PM - before 9 PM,5
107635,Before 9 AM,5
107636,9 AM - before 11 AM,2
107656,Before 9 AM,30
107665,Before 9 AM,30
107749,11 AM - before 2 PM,7
107749,Before 9 AM,7
107776,5 PM - before 9 PM,4
107776,Before 9 AM,12
107792,11 AM - before 2 PM,5
107792,2 PM - before 5 PM,5
107799,9 AM - before 11 AM,4
107799,Before 9 AM,4
107811,5 PM - before 9 PM,10
107811,Before 9 AM,20
107814,Before 9 AM,30
107908,5 PM - before 9 PM,15
107908,Before 9 AM,15
107920,11 AM - before 2 PM,10
107920,2 PM - before 5 PM,20
107953,11 AM - before 2 PM,20
107953,2 PM - before 5 PM,10
107988,Before 9 AM,4
107991,11 AM - before 2 PM,5
107991,5 PM - before 9 PM,5
107998,5 PM - before 9 PM,20
107998,Before 9 AM,40
108015,2 PM - before 5 PM,2
108082,9 AM - before 11 AM,4
