ID,Needstates,Day#Daypart,NeedstateGroup
91140,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
91142,Drinking coffee,Overall,Drinking beverages
91142,Socialzing,Overall,Socializing
91142,Working / Business meeting,Overall,Working & business meeting
91143,Drinking coffee,Overall,Drinking beverages
91143,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack
91143,Relaxing (Alone),Overall,Relaxing & entertainment
91143,Socialzing,Overall,Socializing
91323,Relaxing (Alone),Overall,Relaxing & entertainment
91323,Socialzing,Overall,Socializing
91323,Working / Business meeting,Overall,Working & business meeting
91439,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
91439,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
91439,Have snack / pastry,Overall,Meals & Snack
91439,Relaxing (Alone),Overall,Relaxing & entertainment
91439,Socialzing,Overall,Socializing
91489,Drinking coffee,Overall,Drinking beverages
91489,Relaxing (Alone),Overall,Relaxing & entertainment
91489,Socialzing,Overall,Socializing
91490,Drinking coffee,Overall,Drinking beverages
91490,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
91490,Relaxing (Alone),Overall,Relaxing & entertainment
91490,Socialzing,Overall,Socializing
91770,Relaxing (Alone),Overall,Relaxing & entertainment
91801,Relaxing (Alone),Overall,Relaxing & entertainment
91852,Drinking coffee,Overall,Drinking beverages
91852,Relaxing (Alone),Overall,Relaxing & entertainment
91852,Socialzing,Overall,Socializing
91853,Drinking coffee,Overall,Drinking beverages
91853,Socialzing,Overall,Socializing
91854,Drinking coffee,Overall,Drinking beverages
91854,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
91854,Relaxing (Alone),Overall,Relaxing & entertainment
91854,Socialzing,Overall,Socializing
91855,Drinking coffee,Overall,Drinking beverages
91855,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
91855,Relaxing (Alone),Overall,Relaxing & entertainment
91855,Socialzing,Overall,Socializing
92021,Socialzing,Overall,Socializing
92021,Working / Business meeting,Overall,Working & business meeting
92022,Socialzing,Overall,Socializing
92023,Socialzing,Overall,Socializing
92023,Working / Business meeting,Overall,Working & business meeting
92071,Socialzing,Overall,Socializing
92072,Drinking coffee,Overall,Drinking beverages
92073,Socialzing,Overall,Socializing
92075,Relaxing (Alone),Overall,Relaxing & entertainment
92076,Relaxing (Alone),Overall,Relaxing & entertainment
92078,Socialzing,Overall,Socializing
92079,Drinking coffee,Overall,Drinking beverages
92079,Socialzing,Overall,Socializing
92157,Drinking coffee,Overall,Drinking beverages
92157,Drinking tea,Overall,Drinking beverages
92157,Socialzing,Overall,Socializing
92182,Drinking coffee,Overall,Drinking beverages
92182,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
92182,Socialzing,Overall,Socializing
92183,Drinking coffee,Overall,Drinking beverages
92183,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
92183,Relaxing (Alone),Overall,Relaxing & entertainment
92200,Drinking coffee,Overall,Drinking beverages
92200,Socialzing,Overall,Socializing
92316,Drinking ice-blended,Overall,Drinking beverages
92316,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
92316,Have snack / pastry,Overall,Meals & Snack
92316,Socialzing,Overall,Socializing
92317,Drinking coffee,Overall,Drinking beverages
92317,Have snack / pastry,Overall,Meals & Snack
92317,Socialzing,Overall,Socializing
92317,Working / Business meeting,Overall,Working & business meeting
92564,Drinking coffee,Overall,Drinking beverages
92564,Drinking tea,Overall,Drinking beverages
92564,Have snack / pastry,Overall,Meals & Snack
92564,Socialzing,Overall,Socializing
92584,Drinking coffee,Overall,Drinking beverages
92584,Relaxing (Alone),Overall,Relaxing & entertainment
92584,Socialzing,Overall,Socializing
92610,Drinking coffee,Overall,Drinking beverages
92610,Drinking tea,Overall,Drinking beverages
92610,Socialzing,Overall,Socializing
92615,Drinking coffee,Overall,Drinking beverages
92615,Relaxing (Alone),Overall,Relaxing & entertainment
92615,Socialzing,Overall,Socializing
92616,Drinking coffee,Overall,Drinking beverages
92616,Relaxing (Alone),Overall,Relaxing & entertainment
92616,Socialzing,Overall,Socializing
92622,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
92622,Relaxing (Alone),Overall,Relaxing & entertainment
92622,Socialzing,Overall,Socializing
92639,Drinking coffee,Overall,Drinking beverages
92639,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
92639,Relaxing (Alone),Overall,Relaxing & entertainment
92639,Socialzing,Overall,Socializing
92640,Drinking coffee,Overall,Drinking beverages
92640,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
92640,Socialzing,Overall,Socializing
92641,Drinking coffee,Overall,Drinking beverages
92641,Drinking ice-blended,Overall,Drinking beverages
92641,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
92641,Socialzing,Overall,Socializing
92690,Drinking coffee,Overall,Drinking beverages
92690,Drinking ice-blended,Overall,Drinking beverages
92690,Drinking tea,Overall,Drinking beverages
92690,Socialzing,Overall,Socializing
92690,Working / Business meeting,Overall,Working & business meeting
92719,Drinking coffee,Overall,Drinking beverages
92719,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
92719,Socialzing,Overall,Socializing
92738,Drinking ice-blended,Overall,Drinking beverages
92738,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
92738,Have snack / pastry,Overall,Meals & Snack
92810,Drinking coffee,Overall,Drinking beverages
92810,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
92810,Relaxing (Alone),Overall,Relaxing & entertainment
92810,Socialzing,Overall,Socializing
92812,Drinking tea,Overall,Drinking beverages
92812,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
92812,Socialzing,Overall,Socializing
92813,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
92813,Socialzing,Overall,Socializing
92815,Drinking ice-blended,Overall,Drinking beverages
92815,Relaxing (Alone),Overall,Relaxing & entertainment
92815,Socialzing,Overall,Socializing
92816,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
92816,Drinking tea,Overall,Drinking beverages
92816,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
92816,Relaxing (Alone),Overall,Relaxing & entertainment
92820,Drinking coffee,Overall,Drinking beverages
92820,Drinking tea,Overall,Drinking beverages
92820,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
92820,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack
92820,Have snack / pastry,Overall,Meals & Snack
92820,Relaxing (Alone),Overall,Relaxing & entertainment
92820,Socialzing,Overall,Socializing
92821,Drinking coffee,Overall,Drinking beverages
92821,Drinking tea,Overall,Drinking beverages
92821,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
92821,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack
92821,Have snack / pastry,Overall,Meals & Snack
92821,Relaxing (Alone),Overall,Relaxing & entertainment
92821,Socialzing,Overall,Socializing
92839,Drinking coffee,Overall,Drinking beverages
92839,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
92839,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
92839,Socialzing,Overall,Socializing
92874,Working / Business meeting,Overall,Working & business meeting
92875,Drinking coffee,Overall,Drinking beverages
92875,Socialzing,Overall,Socializing
92918,Working / Business meeting,Overall,Working & business meeting
92972,Drinking coffee,Overall,Drinking beverages
92972,Socialzing,Overall,Socializing
93048,Working / Business meeting,Overall,Working & business meeting
93050,Drinking coffee,Overall,Drinking beverages
93050,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
93050,Relaxing (Alone),Overall,Relaxing & entertainment
93050,Socialzing,Overall,Socializing
93066,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack
93066,Have snack / pastry,Overall,Meals & Snack
93165,Have snack / pastry,Overall,Meals & Snack
93165,Relaxing (Alone),Overall,Relaxing & entertainment
93165,Socialzing,Overall,Socializing
93166,Drinking coffee,Overall,Drinking beverages
93166,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack
93167,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
93167,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack
93168,Drinking coffee,Overall,Drinking beverages
93168,Have snack / pastry,Overall,Meals & Snack
93168,Relaxing (Alone),Overall,Relaxing & entertainment
93168,Socialzing,Overall,Socializing
93168,Working / Business meeting,Overall,Working & business meeting
93183,Drinking coffee,Overall,Drinking beverages
93183,Drinking tea,Overall,Drinking beverages
93183,Relaxing (Alone),Overall,Relaxing & entertainment
93183,Socialzing,Overall,Socializing
93183,Working / Business meeting,Overall,Working & business meeting
93185,Drinking coffee,Overall,Drinking beverages
93186,Studying / Reading books,Overall,Studying & Others
93188,Drinking coffee,Overall,Drinking beverages
93188,Relaxing (Alone),Overall,Relaxing & entertainment
93191,Socialzing,Overall,Socializing
93191,Working / Business meeting,Overall,Working & business meeting
93207,Drinking coffee,Overall,Drinking beverages
93207,Socialzing,Overall,Socializing
93327,Drinking coffee,Overall,Drinking beverages
93327,Relaxing (Alone),Overall,Relaxing & entertainment
93327,Socialzing,Overall,Socializing
93328,Drinking coffee,Overall,Drinking beverages
93328,Relaxing (Alone),Overall,Relaxing & entertainment
93328,Socialzing,Overall,Socializing
93385,Drinking coffee,Overall,Drinking beverages
93385,Socialzing,Overall,Socializing
93385,Working / Business meeting,Overall,Working & business meeting
93386,Drinking ice-blended,Overall,Drinking beverages
93386,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
93386,Drinking tea,Overall,Drinking beverages
93386,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
93386,Socialzing,Overall,Socializing
93387,Drinking coffee,Overall,Drinking beverages
93387,Drinking ice-blended,Overall,Drinking beverages
93387,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
93387,Socialzing,Overall,Socializing
93388,Drinking coffee,Overall,Drinking beverages
93388,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
93388,Have snack / pastry,Overall,Meals & Snack
93388,Socialzing,Overall,Socializing
93388,Studying / Reading books,Overall,Studying & Others
93389,Drinking coffee,Overall,Drinking beverages
93389,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
93389,Relaxing (Alone),Overall,Relaxing & entertainment
93389,Socialzing,Overall,Socializing
93390,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
93391,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
93391,Drinking tea,Overall,Drinking beverages
93391,Socialzing,Overall,Socializing
93392,Drinking coffee,Overall,Drinking beverages
93392,Socialzing,Overall,Socializing
93979,Drinking coffee,Overall,Drinking beverages
93979,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
93980,Drinking coffee,Overall,Drinking beverages
93980,Relaxing (Alone),Overall,Relaxing & entertainment
93980,Socialzing,Overall,Socializing
93981,Drinking coffee,Overall,Drinking beverages
93981,Socialzing,Overall,Socializing
93982,Drinking coffee,Overall,Drinking beverages
93982,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
93982,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
94027,Drinking coffee,Overall,Drinking beverages
94027,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
94027,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
94027,Have snack / pastry,Overall,Meals & Snack
94027,Socialzing,Overall,Socializing
94132,Drinking coffee,Overall,Drinking beverages
94132,Socialzing,Overall,Socializing
94133,Drinking coffee,Overall,Drinking beverages
94133,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
94133,Relaxing (Alone),Overall,Relaxing & entertainment
94134,Relaxing (Alone),Overall,Relaxing & entertainment
94134,Socialzing,Overall,Socializing
94134,Working / Business meeting,Overall,Working & business meeting
94136,Drinking coffee,Overall,Drinking beverages
94136,Relaxing (Alone),Overall,Relaxing & entertainment
94136,Socialzing,Overall,Socializing
94137,Drinking coffee,Overall,Drinking beverages
94137,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack
94137,Relaxing (Alone),Overall,Relaxing & entertainment
94138,Drinking coffee,Overall,Drinking beverages
94138,Socialzing,Overall,Socializing
94201,Socialzing,Overall,Socializing
94202,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
94203,Drinking coffee,Overall,Drinking beverages
94203,Socialzing,Overall,Socializing
94204,Drinking coffee,Overall,Drinking beverages
94204,Socialzing,Overall,Socializing
94205,Drinking coffee,Overall,Drinking beverages
94205,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
94205,Socialzing,Overall,Socializing
94206,Drinking coffee,Overall,Drinking beverages
94206,Socialzing,Overall,Socializing
94210,Drinking coffee,Overall,Drinking beverages
94210,Socialzing,Overall,Socializing
94211,Socialzing,Overall,Socializing
94214,Drinking coffee,Overall,Drinking beverages
94214,Relaxing (Alone),Overall,Relaxing & entertainment
94214,Socialzing,Overall,Socializing
94215,Drinking coffee,Overall,Drinking beverages
94215,Drinking tea,Overall,Drinking beverages
94215,Have snack / pastry,Overall,Meals & Snack
94215,Socialzing,Overall,Socializing
94216,Drinking coffee,Overall,Drinking beverages
94225,Drinking coffee,Overall,Drinking beverages
94225,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
94225,Drinking tea,Overall,Drinking beverages
94226,Drinking coffee,Overall,Drinking beverages
94226,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
94226,Drinking tea,Overall,Drinking beverages
94226,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
94226,Socialzing,Overall,Socializing
94227,Drinking coffee,Overall,Drinking beverages
94227,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
94227,Drinking tea,Overall,Drinking beverages
94647,Drinking coffee,Overall,Drinking beverages
94647,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
94647,Drinking tea,Overall,Drinking beverages
94741,Drinking coffee,Overall,Drinking beverages
94741,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
94803,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
94803,Have snack / pastry,Overall,Meals & Snack
94803,Socialzing,Overall,Socializing
94803,Studying / Reading books,Overall,Studying & Others
94804,Drinking coffee,Overall,Drinking beverages
94804,Relaxing (Alone),Overall,Relaxing & entertainment
94804,Socialzing,Overall,Socializing
94805,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
94805,Have snack / pastry,Overall,Meals & Snack
94805,Relaxing (Alone),Overall,Relaxing & entertainment
94805,Socialzing,Overall,Socializing
94805,Studying / Reading books,Overall,Studying & Others
94806,Drinking coffee,Overall,Drinking beverages
94806,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
94806,Socialzing,Overall,Socializing
94838,Drinking coffee,Overall,Drinking beverages
94838,Relaxing (Alone),Overall,Relaxing & entertainment
94838,Socialzing,Overall,Socializing
94868,Drinking coffee,Overall,Drinking beverages
94868,Drinking tea,Overall,Drinking beverages
94868,Relaxing (Alone),Overall,Relaxing & entertainment
94868,Socialzing,Overall,Socializing
94869,Drinking coffee,Overall,Drinking beverages
94869,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
94869,Socialzing,Overall,Socializing
94870,Drinking coffee,Overall,Drinking beverages
94870,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
94870,Relaxing (Alone),Overall,Relaxing & entertainment
94871,Drinking coffee,Overall,Drinking beverages
94981,Drinking coffee,Overall,Drinking beverages
94981,Working / Business meeting,Overall,Working & business meeting
94984,Socialzing,Overall,Socializing
94984,Working / Business meeting,Overall,Working & business meeting
94985,Relaxing (Alone),Overall,Relaxing & entertainment
94985,Socialzing,Overall,Socializing
94986,Socialzing,Overall,Socializing
94987,Socialzing,Overall,Socializing
94987,Working / Business meeting,Overall,Working & business meeting
94988,Socialzing,Overall,Socializing
94991,Drinking tea,Overall,Drinking beverages
94991,Socialzing,Overall,Socializing
95051,Drinking coffee,Overall,Drinking beverages
95051,Relaxing (Alone),Overall,Relaxing & entertainment
95052,Drinking tea,Overall,Drinking beverages
95052,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack
95052,Have snack / pastry,Overall,Meals & Snack
95055,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack
95055,Socialzing,Overall,Socializing
95189,Drinking coffee,Overall,Drinking beverages
95189,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
95189,Drinking tea,Overall,Drinking beverages
95189,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
95189,Have snack / pastry,Overall,Meals & Snack
95189,Socialzing,Overall,Socializing
95190,Drinking coffee,Overall,Drinking beverages
95190,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
95190,Socialzing,Overall,Socializing
95191,Drinking coffee,Overall,Drinking beverages
95191,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
95191,Socialzing,Overall,Socializing
95192,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
95192,Drinking tea,Overall,Drinking beverages
95192,Socialzing,Overall,Socializing
95192,Working / Business meeting,Overall,Working & business meeting
95193,Drinking ice-blended,Overall,Drinking beverages
95193,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
95193,Drinking tea,Overall,Drinking beverages
95193,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
95193,Have snack / pastry,Overall,Meals & Snack
95193,Socialzing,Overall,Socializing
95250,Drinking coffee,Overall,Drinking beverages
95250,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
95250,Socialzing,Overall,Socializing
95252,Drinking coffee,Overall,Drinking beverages
95252,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
95252,Relaxing (Alone),Overall,Relaxing & entertainment
95252,Socialzing,Overall,Socializing
95253,Drinking coffee,Overall,Drinking beverages
95253,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
95253,Socialzing,Overall,Socializing
95254,Drinking coffee,Overall,Drinking beverages
95254,Drinking ice-blended,Overall,Drinking beverages
95254,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
95254,Socialzing,Overall,Socializing
95719,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
95719,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
95719,Have snack / pastry,Overall,Meals & Snack
95719,Socialzing,Overall,Socializing
95720,Drinking coffee,Overall,Drinking beverages
95720,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
95720,Socialzing,Overall,Socializing
95723,Drinking coffee,Overall,Drinking beverages
95723,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
95723,Relaxing (Alone),Overall,Relaxing & entertainment
95723,Socialzing,Overall,Socializing
95725,Drinking coffee,Overall,Drinking beverages
95725,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
95725,Socialzing,Overall,Socializing
95727,Drinking coffee,Overall,Drinking beverages
95727,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
95727,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
95727,Socialzing,Overall,Socializing
95729,Drinking coffee,Overall,Drinking beverages
95729,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
95729,Socialzing,Overall,Socializing
95731,Drinking coffee,Overall,Drinking beverages
95731,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
95731,Socialzing,Overall,Socializing
95733,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
95733,Socialzing,Overall,Socializing
95733,Studying / Reading books,Overall,Studying & Others
95770,Drinking coffee,Overall,Drinking beverages
95770,Socialzing,Overall,Socializing
95771,Drinking coffee,Overall,Drinking beverages
95771,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack
95771,Socialzing,Overall,Socializing
95772,Socialzing,Overall,Socializing
95773,Drinking coffee,Overall,Drinking beverages
95773,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack
95773,Socialzing,Overall,Socializing
95834,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
95834,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
95834,Have snack / pastry,Overall,Meals & Snack
95834,Socialzing,Overall,Socializing
95847,Drinking coffee,Overall,Drinking beverages
95847,Relaxing (Alone),Overall,Relaxing & entertainment
95847,Socialzing,Overall,Socializing
95848,Drinking coffee,Overall,Drinking beverages
95848,Drinking ice-blended,Overall,Drinking beverages
95848,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
95848,Relaxing (Alone),Overall,Relaxing & entertainment
95848,Socialzing,Overall,Socializing
95908,Drinking coffee,Overall,Drinking beverages
95908,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
95908,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
95908,Socialzing,Overall,Socializing
95908,Working / Business meeting,Overall,Working & business meeting
95909,Drinking coffee,Overall,Drinking beverages
95909,Drinking ice-blended,Overall,Drinking beverages
95909,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
95909,Drinking tea,Overall,Drinking beverages
95909,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
95909,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack
95909,Have snack / pastry,Overall,Meals & Snack
95909,Socialzing,Overall,Socializing
95909,Working / Business meeting,Overall,Working & business meeting
95910,Drinking coffee,Overall,Drinking beverages
95910,Drinking ice-blended,Overall,Drinking beverages
95910,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
95910,Drinking tea,Overall,Drinking beverages
95910,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack
95910,Have snack / pastry,Overall,Meals & Snack
95910,Relaxing (Alone),Overall,Relaxing & entertainment
95910,Studying / Reading books,Overall,Studying & Others
95911,Drinking coffee,Overall,Drinking beverages
95911,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
95911,Drinking tea,Overall,Drinking beverages
95911,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
95911,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack
95911,Have snack / pastry,Overall,Meals & Snack
95911,Socialzing,Overall,Socializing
95912,Drinking coffee,Overall,Drinking beverages
95912,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
95912,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
95912,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack
95912,Socialzing,Overall,Socializing
95913,Drinking coffee,Overall,Drinking beverages
95913,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
95913,Drinking tea,Overall,Drinking beverages
95913,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
95913,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack
95913,Have snack / pastry,Overall,Meals & Snack
95913,Socialzing,Overall,Socializing
96122,Drinking ice-blended,Overall,Drinking beverages
96122,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
96122,Drinking tea,Overall,Drinking beverages
96122,Have snack / pastry,Overall,Meals & Snack
96122,Socialzing,Overall,Socializing
96306,Drinking coffee,Overall,Drinking beverages
96306,Drinking tea,Overall,Drinking beverages
96307,Drinking coffee,Overall,Drinking beverages
96307,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
96307,Drinking tea,Overall,Drinking beverages
96307,"Enterntainment (watching movies. Playing games, browsing web,…)",Overall,Relaxing & entertainment
96307,Have snack / pastry,Overall,Meals & Snack
96308,Drinking coffee,Overall,Drinking beverages
96308,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages
96500,Drinking coffee,Overall,Drinking beverages
96500,Socialzing,Overall,Socializing
96542,Drinking coffee,Overall,Drinking beverages
96542,Socialzing,Overall,Socializing
96542,Working / Business meeting,Overall,Working & business meeting
96566,Drinking coffee,Overall,Drinking beverages
